;district;size (m²);price (M in HUF);balcony (m²);address;room(s);half_room(s)
24370;001;82;85.0;;Krisztinaváros - Váralja;2;
24371;009;40;34.9;;Középső-Ferencváros - Rehabilitációs terület;2;
24372;014;83;53.3;;Erzsébet királyné útja;3;
24373;005;51;98.0;;Lipótváros;3;
24374;008;83;56.5;;Rákóczi út;2;1.0
24375;010;73;52.0;;Ligettelek;2;
24376;005;65;74.21;;Arany János utca;3;
24377;011;34;48.9;06.Jul;Fehérvári út;2;
24378;005;75;113.0;;Nyáry Pál utca;3;
24379;019;66;45.9;;Kós Károly tér;2;
24380;002;219;288.0;200.0;Budakeszierdő;7;
24381;014;116;155.0;21.0;Alsórákos;3;
24382;014;96;120.0;15.0;Alsórákos;3;
24383;012;89;75.0;;Krisztinaváros;3;
24384;007;98;59.0;;Külső-Erzsébetváros;5;
24385;011;87;89.0;;Lágymányosi utca;3;
24386;005;30;39.9;;Mérleg utca;1;
24387;008;10;7.49;;Diószegi Sámuel utca;1;
24388;008;107;84.0;;Józsefváros - Palotanegyed;2;1.0
24389;012;63;49.9;;Krisztinaváros;2;
24390;007;86;84.9;;Dohány utca;2;1.0
24391;018;27;16.0;;Kisfaludy utca;1;
24392;007;91;63.5;2.0;Thököly út;3;
24393;018;53;18.0;;Havanna-lakótelep;3;
24394;007;100;68.0;;István utca;4;
24395;005;142;230.0;25.0;Irányi utca;4;
24396;016;68;42.0;10.0;Futórózsa utca;3;
24397;007;76;41.9;;Baross tér;2;1.0
24398;017;142;97.5;;Rákoscsaba;3;
24399;013;84;79.0;;Szabolcs utca;3;
24400;006;460;370.0;9.0;Jókai utca;14;
24401;002;134;120.0;;Országút;3;
24402;008;47;42.3;;Somogyi Béla utca;2;
24403;007;76;64.9;;Rákóczi út;2;1.0
24404;007;150;79.9;;Király utca;4;
24405;006;124;120.0;;Belső-Terézváros;4;
24406;003;127;179.0;27.0;Újlak;5;
24407;020;29;18.5;3.0;Vécsey utca;1;
24408;013;31;39.3;;Újlipótvárosi lakótelep;1;
24409;006;170;135.0;3.0;Külső-Terézváros;9;
24410;005;67;59.99;;Városház utca;2;
24411;008;86;49.9;3.0;Józsefváros - Corvinnegyed;3;
24412;005;64;69.9;1.0;Balaton utca;2;
24413;006;59;74.0;;Nagymező utca;2;
24414;009;33;20.99;;Középső-Ferencváros - Rehabilitációs terület;1;
24415;007;69;47.0;;Rákóczi út;3;1.0
24416;018;46;35.0;;Szent Lőrinc-lakótelep;1;1.0
24417;018;59;32.5;;Kossuth Ferenc-telep;2;1.0
24418;020;52;27.9;;Szivacs utca;2;
24419;007;117;100.0;;Dohány utca;3;1.0
24420;003;35;55.0;;Nánási út;1;1.0
24421;005;59;65.5;;Honvéd utca;2;
24422;011;117;174.9;137.0;Gazdagrét;5;
24423;011;186;132.0;20.0;Tétényi út;4;
24424;001;81;79.9;;Krisztinaváros - Váralja;2;
24425;006;153;125.0;;Külső-Terézváros - Diplomatanegyed;4;
24426;002;64;79.0;;Újlak;2;
24427;007;61;58.0;;Damjanich utca;3;
24428;011;50;55.9;;Bártfai utca;2;
24429;006;72;69.0;;Rippl-Rónai utca;2;
24430;001;90;107.0;7.0;Attila út;3;
24431;011;80;143.9;10.0;Szent Adalbert tér;3;
24432;005;126;155.0;3.0;Szerb utca;4;
24433;006;113;125.0;;Király utca;3;
24434;008;160;99.0;;Józsefváros - Corvinnegyed;5;
24435;019;76;49.5;;Corvin körút;3;
24436;005;64;69.9;;Balaton utca;2;
24437;014;72;61.9;4.0;Alsórákos;3;
24438;002;64;84.9;;Szemlőhegy;2;
24439;008;125;118.9;;Krúdy utca;3;
24440;021;46;31.7;;Árpád utca;2;
24441;002;55;63.0;;Szépilona;3;
24442;018;52;46.9;6.0;Csörgőfa utca;2;
24443;007;69;47.0;;Rottenbiller utca;3;
24444;009;72;69.8;;Balázs Béla utca;2;
24445;001;82;85.0;;Krisztinaváros - Váralja;2;
24446;001;36;45.0;;Víziváros - Váralja;1;
24447;014;82;59.5;5.0;Öv utca;3;1.0
24448;008;93;99.0;4.0;Baross tér;3;
24449;014;122;146.0;25.0;Alsórákos;3;
24450;014;126;150.0;26.0;Alsórákos;4;
24451;021;46;37.8;;Csepel - Ady Endre úti lakótelep;2;
24452;008;75;78.9;;József utca;3;1.0
24453;006;65;48.0;;Izabella utca;3;
24454;008;92;89.9;14.0;Orczy tér;4;
24455;008;65;69.9;;Józsefváros - Corvinnegyed;1;2.0
24456;007;103;68.0;;Dózsa György út;7;
24457;006;270;410.0;20.0;Andrássy út;5;
24458;013;81;138.0;51.0;Carl Lutz rakpart;4;3.0
24459;013;117;95.8;4.0;Váci út;4;
24460;013;38;60.0;33.0;Klapka utca;2;
24461;012;118;98.9;;Krisztina körút;5;3.0
24462;009;39;43.0;;Középső-Ferencváros - Rehabilitációs terület;2;
24463;002;84;73.5;;Országút;3;
24464;002;55;63.0;;Szépilona;3;
24465;013;62;48.0;;Faludi utca;2;1.0
24466;021;46;37.8;;Csepel - Ady Endre úti lakótelep;2;
24467;008;67;32.8;;Józsefváros - Magdolnanegyed;3;
24468;013;65;68.0;3.0;Radnóti Miklós utca;2;1.0
24469;002;68;74.9;;Országút;2;
24470;009;62;49.9;;Ferenc körút;2;
24471;008;67;32.8;;Dankó utca;3;
24472;006;54;63.0;;Király utca;2;
24473;005;100;125.0;;Kossuth Lajos utca;4;
24474;010;68;37.9;;Dombtető utca;3;
24475;013;105;182.0;25.0;Vizafogó;3;
24476;013;73;136.0;26.0;Vizafogó;3;
24477;013;42;60.96;6.0;Angyalföld - Lőportárdűlő;2;
24478;013;97;175.0;;Szent István park;4;
24479;001;83;129.88;;Víziváros;3;
24480;013;31;46.32;7.0;Angyalföld - Lőportárdűlő;1;
24481;013;34;52.34;10.0;Angyalföld - Lőportárdűlő;1;
24482;006;86;72.0;;Podmaniczky utca;3;1.0
24483;012;63;61.9;;Városmajor utca;2;
24484;012;90;262.8;32.0;Kútvölgy;3;
24485;017;149;104.0;30.0;Rákoscsaba;4;
24486;013;42;60.96;6.0;Angyalföld - Lőportárdűlő;2;
24487;013;45;63.23;4.0;Angyalföld - Lőportárdűlő;2;
24488;013;39;47.72;;Angyalföld;1;1.0
24489;013;32;38.2;;Angyalföld;1;
24490;006;135;132.9;;Paulay Ede utca;4;
24491;009;103;79.9;;Erkel utca;3;
24492;003;90;26.0;;Bécsi út;1;4.0
24493;006;58;75.4;;Belső-Terézváros;2;
24494;001;38;52.0;;Víziváros;1;
24495;006;74;69.9;;Paulay Ede utca;3;1.0
24496;005;126;155.0;3.0;Belváros;4;
24497;004;72;44.5;4.0;Závodszky Zoltán utca 5 sz;2;1.0
24498;008;72;59.5;;Rákóczi út;3;
24499;005;126;155.0;3.0;Belváros;4;
24500;002;111;84.9;;Buday László utca;5;
24501;011;186;132.0;20.0;Kelenföld;4;
24502;005;126;155.0;3.0;Szerb utca;4;
24503;005;47;51.9;;Hercegprímás utca;1;1.0
24504;013;38;37.99;2.0;Vizafogó;1;
24505;003;276;185.0;;Pünkösdfürdő utca;5;
24506;011;52;49.9;3.0;Kelenföld;2;
24507;013;86;95.0;10.0;Angyalföldi út;2;2.0
24508;013;78;88.4;114.0;Angyalföld;3;
24509;005;53;120.0;;Garibaldi utca;2;
24510;007;179;119.9;;Külső-Erzsébetváros;7;
24511;021;62;37.5;6.0;Erdősor utca;1;2.0
24512;006;114;95.76;;Eötvös utca;3;1.0
24513;007;65;84.9;;Belső-Erzsébetváros;1;1.0
24514;005;101;89.0;;Lipótváros;2;1.0
24515;006;37;48.0;;Belső-Terézváros;1;
24516;006;68;55.0;;Külső-Terézváros;3;
24517;007;71;69.9;;Király utca;3;
24518;008;52;36.0;;Kőris utca;2;
24519;009;62;49.9;;Angyal utca;2;1.0
24520;007;87;77.9;;Dohány utca;3;1.0
24521;011;142;234.95;30.0;Pösingermajor;4;
24522;007;44;39.5;;Damjanich utca;2;
24523;009;111;95.0;;Középső-Ferencváros;4;
24524;019;66;46.2;;Kós Károly tér;2;
24525;007;46;41.5;;István utca;1;
24526;011;68;64.9;2.0;Karolina út;2;1.0
24527;006;109;76.3;;Szív utca;3;1.0
24528;013;88;68.0;;Újlipótváros;3;
24529;007;107;103.0;;Külső-Erzsébetváros;3;
24530;007;133;123.0;4.0;Külső-Erzsébetváros;4;
24531;011;113;98.0;;Bartók Béla út;3;1.0
24532;011;245;395.0;34.0;Gellérthegy;4;
24533;013;56;55.8;7.0;Angyalföld - Lőportárdűlő;2;
24534;007;80;46.5;3.0;Külső-Erzsébetváros;3;
24535;007;89;56.0;;Külső-Erzsébetváros;3;
24536;019;63;39.9;;Jáhn Ferenc utca;2;
24537;004;74;64.0;;Tóth Aladár utca;2;1.0
24538;006;53;39.9;;Andrássy út;1;1.0
24539;019;59;55.9;3.0;Kispest;2;
24540;007;70;48.9;3.0;Nefelejcs utca;2;
24541;010;93;96.5;41.51;Kőbánya-Városközpont;3;1.0
24542;008;73;35.9;;Lujza utca;2;
24543;007;100;73.9;;Rottenbiller utca;3;
24544;007;97;65.5;;Középső-Erzsébetváros;3;
24545;012;75;58.0;;Krisztinaváros;2;
24546;007;33;32.9;;Dohány utca;1;
24547;008;64;39.9;5.0;Baross utca 119.;3;
24548;005;151;203.85;;Hold utca;3;
24549;005;169;204.0;;Hold utca;3;
24550;007;89;56.0;;Külső-Erzsébetváros - Ligetváros;3;
24551;007;82;72.0;;Középső-Erzsébetváros;3;
24552;013;57;62.8;6.0;Petneházy utca;3;
24553;007;146;99.9;4.0;Bethlen Gábor utca;4;1.0
24554;005;66;1.0;;Só utca 8.;2;
24555;005;89;121.0;;Vámház körút;4;1.0
24556;006;41;39.9;;Külső-Terézváros;2;
24557;013;79;68.9;;Visegrádi utca;3;
24558;013;57;39.9;;Dráva utca;2;
24559;019;55;36.0;4.0;Wekerletelep;2;
24560;009;112;95.0;;Soroksári út;4;
24561;018;30;35.5;;Fenyőfa utca 1/a.;1;
24562;003;51;45.8;;Jendrassik György utca;1;2.0
